iter	Passed	Remaining
191	1587	6679
192	1594	6667
193	1601	6651
194	1608	6638
195	1615	6627
196	1622	6613
197	1627	6592
198	1637	6592
199	1646	6584
200	1652	6568
201	1659	6555
202	1666	6543
203	1675	6539
204	1682	6526
205	1688	6509
206	1697	6501
207	1702	6483
208	1707	6463
209	1714	6448
210	1722	6440
211	1729	6428
212	1735	6411
213	1742	6398
214	1748	6384
215	1755	6373
216	1765	6369
217	1772	6357
218	1782	6355
219	1789	6343
220	1797	6335
221	1804	6325
222	1812	6315
223	1819	6303
224	1826	6291
225	1831	6273
226	1836	6252
227	1840	6232
228	1847	6219
229	1853	6204
230	1858	6187
231	1865	6175
232	1870	6157
233	1877	6145
234	1883	6132
235	1890	6119
236	1897	6110
237	1904	6098
238	1910	6081
239	1915	6066
240	1922	6055
241	1927	6037
242	1933	6022
243	1938	6006
244	1945	5995
245	1951	5982
246	1957	5966
247	1962	5950
248	1968	5938
249	1973	5921
250	1980	5910
251	1986	5895
252	1991	5880
253	1997	5867
254	2004	5857
255	2011	5845
256	2020	5841
257	2027	5829
258	2032	5813
259	2038	5802
260	2044	5789
261	2049	5773
262	2059	5769
263	2066	5762
264	2074	5752
265	2081	5743
266	2087	5729
267	2096	5726
268	2104	5719
269	2110	5704
270	2119	5701
271	2126	5691
272	2133	5681
273	2137	5663
274	2143	5652
275	2152	5647
276	2157	5632
277	2165	5625
278	2173	5615
279	2181	5608
280	2188	5600
281	2199	5599
282	2206	5590
283	2215	5584
284	2224	5580
285	2233	5576
286	2245	5577
287	2251	5565
288	2263	5568
289	2274	5568
290	2281	5557
291	2290	5553
292	2301	5553
293	2316	5562
294	2326	5560
295	2333	5550
296	2350	5564
297	2358	5555
298	2367	5551
299	2374	5541
300	2386	5542
301	2395	5537
302	2403	5529
303	2412	5523
304	2423	5522
305	2434	5522
306	2440	5509
307	2453	5512
308	2464	5510
309	2473	5504
310	2487	5509
311	2511	5537
312	2518	5528
313	2531	5530
314	2545	5536
315	2555	5532
316	2565	5528
317	2578	5529
318	2587	5524
319	2597	5519
320	2607	5515
321	2615	5506
322	2624	5501
323	2640	5508
324	2648	5501
325	2656	5493
326	2664	5483
327	2672	5475
328	2679	5465
329	2686	5455
330	2693	5444
331	2699	5430
332	2705	5419
333	2711	5406
334	2716	5393
335	2722	5380
336	2727	5366
337	2733	5354
338	2738	5340
339	2744	5327
340	2750	5315
341	2755	5302
342	2762	5290
343	2767	5278
344	2773	5265
345	2780	5255
346	2786	5242
347	2792	5232
348	2802	5227
349	2809	5217
350	2814	5204
351	2820	5192
352	2832	5190
353	2838	5180
354	2847	5174
355	2855	5164
356	2862	5156
357	2870	5146
358	2881	5145
359	2887	5133
360	2897	5128
361	2905	5120
362	2913	5112
363	2921	5104
364	2930	5098
365	2940	5093
366	2945	5080
367	2956	5076
368	2961	5064
369	2972	5061
370	2977	5048
371	2984	5038
372	2991	5029
373	2998	5018
374	3008	5014
375	3022	5015
376	3039	5022
377	3050	5020
378	3059	5013
379	3069	5007
380	3074	4995
381	3085	4991
382	3091	4980
383	3102	4977
384	3111	4970
385	3121	4965
386	3128	4954
387	3136	4947
388	3143	4936
389	3152	4931
390	3158	4919
391	3167	4912
392	3173	4901
393	3182	4895
394	3187	4882
395	3197	4876
396	3202	4864
397	3211	4857
398	3217	4846
399	3228	4842
400	3235	4832
401	3245	4827
402	3251	4816
403	3261	4811
404	3266	4799
405	3275	4792
406	3281	4780
407	3288	4772
408	3295	4761
409	3300	4749
410	3309	4742
411	3314	4729
412	3321	4720
413	3328	4711
414	3334	4700
415	3342	4691
416	3347	4680
417	3356	4673
418	3361	4661
419	3367	4649
420	3374	4640
421	3379	4628
422	3387	4620
423	3392	4609
424	3397	4597
425	3404	4587
426	3409	4575
427	3415	4564
428	3420	4553
429	3425	4541
430	3432	4530
431	3438	4521
432	3446	4513
433	3453	4503
434	3459	4494
435	3466	4484
436	3473	4474
437	3478	4463
438	3483	4451
439	3489	4440
440	3494	4429
441	3499	4418
442	3504	4406
443	3509	4395
444	3516	4386
445	3521	4374
446	3527	4363
447	3532	4352
448	3538	4342
449	3544	4332
450	3549	4320
451	3554	4309
452	3559	4298
453	3566	4289
454	3572	4278
455	3577	4267
456	3582	4256
457	3587	4245
458	3593	4235
459	3598	4224
460	3603	4213
461	3608	4202
462	3614	4191
463	3619	4180
464	3624	4169
465	3630	4160
466	3636	4150
467	3642	4140
468	3648	4130
469	3653	4119
470	3659	4109
471	3665	4100
472	3672	4091
473	3678	4082
474	3685	4073
475	3691	4064
476	3699	4055
477	3706	4047
478	3713	4038
479	3719	4029
480	3725	4020
481	3730	4009
482	3738	4001
483	3743	3990
484	3750	3982
485	3756	3973
486	3762	3963
487	3770	3955
488	3775	3945
489	3785	3940
490	3791	3930
491	3800	3924
492	3805	3913
493	3812	3904
494	3819	3896
495	3824	3886
496	3834	3880
497	3840	3871
498	3850	3866
499	3855	3855
500	3864	3849
501	3870	3839
502	3877	3831
503	3883	3821
504	3888	3811
505	3897	3805
506	3902	3795
507	3912	3788
508	3918	3779
509	3927	3773
510	3932	3762
511	3937	3752
512	3946	3746
513	3952	3737
514	3960	3729
515	3965	3719
516	3972	3711
517	3979	3702
518	3985	3693
519	3991	3684
520	3997	3674
521	4002	3665
522	4007	3654
523	4013	3645
524	4018	3635
525	4023	3626
526	4028	3616
527	4034	3606
528	4040	3597
529	4046	3587
530	4051	3578
531	4056	3568
532	4061	3558
533	4066	3548
534	4071	3539
535	4078	3530
536	4083	3521
537	4088	3511
538	4093	3501
539	4099	3492
540	4104	3482
541	4110	3473
542	4116	3464
543	4121	3454
544	4127	3445
545	4132	3436
546	4138	3427
547	4143	3417
548	4148	3408
549	4154	3398
550	4159	3389
551	4165	3380
552	4170	3371
553	4175	3361
554	4180	3352
555	4186	3342
556	4192	3334
557	4197	3324
558	4204	3316
559	4210	3308
560	4217	3300
561	4223	3291
562	4228	3282
563	4233	3272
564	4239	3263
565	4245	3255
566	4251	3246
567	4257	3238
568	4262	3228
569	4268	3220
570	4274	3211
571	4279	3202
572	4284	3193
573	4290	3184
574	4297	3176
575	4302	3167
576	4308	3158
577	4314	3149
578	4319	3140
579	4325	3132
580	4330	3123
581	4341	3118
582	4354	3114
583	4363	3108
584	4374	3102
585	4386	3098
586	4399	3095
587	4417	3095
588	4427	3089
589	4433	3080
590	4438	3071
591	4444	3063
592	4450	3054
593	4456	3045
594	4462	3037
595	4467	3028
596	4473	3019
597	4478	3010
598	4484	3002
599	4491	2994
600	4501	2988
601	4510	2981
602	4516	2973
603	4522	2965
604	4529	2956
605	4534	2947
606	4539	2939
607	4545	2930
608	4551	2922
609	4556	2913
610	4561	2904
611	4567	2895
612	4572	2886
613	4577	2878
614	4582	2869
615	4589	2860
616	4594	2851
617	4599	2843
618	4605	2834
619	4610	2825
620	4616	2817
621	4621	2808
622	4673	2828
623	4694	2828
624	4741	2844
625	4770	2850
626	4784	2846
627	4794	2840
628	4804	2833
629	4812	2826
630	4822	2820
631	4830	2812
632	4837	2804
633	4844	2796
634	4851	2788
635	4856	2779
636	4862	2770
637	4868	2762
638	4873	2753
639	4881	2745
640	4886	2736
641	4892	2728
642	4897	2719
643	4902	2710
644	4909	2702
645	4914	2693
646	4919	2684
647	4932	2679
648	4948	2676
649	4958	2669
650	4964	2661
651	4972	2653
652	4979	2646
653	4986	2638
654	4992	2629
655	4999	2621
656	5007	2614
657	5012	2605
658	5019	2597
659	5024	2588
660	5029	2579
661	5037	2572
662	5042	2563
663	5051	2556
664	5056	2547
665	5063	2539
666	5069	2530
667	5076	2522
668	5084	2515
669	5092	2508
670	5098	2499
671	5105	2491
672	5112	2484
673	5119	2476
674	5126	2468
675	5137	2462
676	5144	2454
677	5154	2448
678	5160	2439
679	5167	2431
680	5174	2423
681	5181	2415
682	5186	2407
683	5192	2398
684	5198	2390
685	5204	2382
686	5209	2373
687	5215	2365
688	5220	2356
689	5226	2348
690	5232	2339
691	5238	2331
692	5244	2323
693	5249	2314
694	5255	2306
695	5261	2298
696	5266	2289
697	5272	2281
698	5278	2272
699	5285	2265
700	5294	2258
701	5301	2250
702	5308	2242
703	5314	2234
704	5321	2226
705	5328	2218
706	5334	2210
707	5343	2203
708	5351	2196
709	5361	2189
710	5367	2181
711	5375	2174
712	5382	2166
713	5389	2159
714	5396	2151
715	5403	2143
716	5410	2135
717	5416	2127
718	5423	2119
719	5429	2111
720	5435	2103
721	5441	2095
722	5448	2087
723	5455	2079
724	5461	2071
725	5466	2063
726	5472	2055
727	5477	2046
728	5484	2038
729	5490	2030
730	5495	2022
731	5500	2013
732	5505	2005
733	5512	1997
734	5518	1989
735	5523	1981
736	5529	1973
737	5534	1964
738	5539	1956
739	5544	1948
740	5549	1939
741	5554	1931
742	5561	1923
743	5568	1915
744	5573	1907
745	5578	1899
746	5583	1891
747	5588	1882
748	5594	1874
749	5600	1866
750	5607	1859
751	5612	1850
752	5617	1842
753	5622	1834
754	5632	1827
755	5639	1820
756	5645	1812
757	5652	1804
758	5658	1796
759	5664	1788
760	5669	1780
761	5674	1772
762	5680	1764
763	5686	1756
764	5691	1748
765	5696	1740
766	5701	1732
767	5707	1723
768	5713	1716
769	5719	1708
770	5725	1700
771	5731	1692
772	5738	1685
773	5744	1677
774	5750	1669
775	5756	1661
776	5762	1653
777	5770	1646
778	5779	1639
779	5787	1632
780	5795	1625
781	5805	1618
782	5813	1611
783	5824	1604
784	5836	1598
785	5845	1591
786	5855	1584
787	5861	1576
788	5871	1570
789	5878	1562
790	5888	1555
791	5897	1548
792	5906	1541
793	5917	1535
794	5925	1527
795	5935	1521
796	5942	1513
797	5951	1506
798	5956	1498
799	5966	1491
800	5973	1483
801	5982	1476
802	5989	1469
803	5997	1462
804	6004	1454
805	6010	1446
806	6015	1438
807	6020	1430
808	6026	1422
809	6032	1415
810	6039	1407
811	6045	1399
812	6051	1391
813	6057	1384
814	6064	1376
815	6070	1368
816	6076	1360
817	6081	1352
818	6088	1345
819	6094	1337
820	6100	1330
821	6107	1322
822	6113	1314
823	6119	1307
824	6126	1299
825	6133	1292
826	6139	1284
827	6146	1276
828	6152	1269
829	6158	1261
830	6164	1253
831	6171	1246
832	6177	1238
833	6184	1230
834	6190	1223
835	6195	1215
836	6201	1207
837	6206	1199
838	6212	1192
839	6219	1184
840	6225	1176
841	6231	1169
842	6237	1161
843	6243	1154
844	6250	1146
845	6256	1138
846	6261	1130
847	6268	1123
848	6274	1115
849	6279	1108
850	6286	1100
851	6292	1093
852	6299	1085
853	6306	1078
854	6314	1070
855	6321	1063
856	6328	1055
857	6334	1048
858	6342	1041
859	6350	1033
860	6357	1026
861	6364	1018
862	6371	1011
863	6378	1004
864	6385	996
865	6394	989
866	6401	981
867	6408	974
868	6415	967
869	6421	959
870	6428	952
871	6434	944
872	6441	937
873	6448	929
874	6454	922
875	6459	914
876	6464	906
877	6470	899
878	6477	891
879	6482	883
880	6489	876
881	6495	869
882	6501	861
883	6506	853
884	6511	846
885	6516	838
886	6522	830
887	6527	823
888	6532	815
889	6537	808
890	6542	800
891	6548	792
892	6554	785
893	6560	777
894	6565	770
895	6571	762
896	6576	755
897	6581	747
898	6586	739
899	6592	732
900	6597	724
901	6602	717
902	6608	709
903	6613	702
904	6618	694
905	6623	687
906	6629	679
907	6634	672
908	6639	664
909	6644	657
910	6649	649
911	6654	642
912	6659	634
913	6665	627
914	6670	619
915	6676	612
916	6681	604
917	6687	597
918	6694	590
919	6699	582
920	6704	575
921	6709	567
922	6714	560
923	6719	552
924	6725	545
925	6741	538
926	6748	531
927	6754	524
928	6759	516
929	6765	509
930	6771	501
931	6776	494
932	6782	487
933	6788	479
934	6793	472
935	6798	464
936	6803	457
937	6810	450
938	6817	442
939	6824	435
940	6831	428
941	6838	421
942	6845	413
943	6852	406
944	6859	399
945	6866	391
946	6872	384
947	6879	377
948	6884	369
949	6889	362
950	6896	355
951	6902	348
952	6907	340
953	6912	333
954	6917	325
955	6922	318
956	6927	311
957	6933	303
958	6938	296
959	6943	289
960	6948	281
961	6954	274
962	6959	267
963	6965	260
964	6970	252
965	6974	245
966	6980	238
967	6985	230
968	6990	223
969	6996	216
970	7002	209
971	7007	201
972	7012	194
973	7018	187
974	7023	180
975	7029	172
976	7033	165
977	7039	158
978	7044	151
979	7049	143
980	7054	136
981	7060	129
982	7064	122
983	7069	114
984	7077	107
985	7082	100
986	7087	93
987	7092	86
988	7098	78
989	7103	71
990	7108	64
991	7114	57
992	7119	50
993	7124	43
994	7129	35
995	7135	28
996	7140	21
997	7145	14
998	7151	7
999	7157	0
